pair,method,interpretation
"ML-KEM-1024 vs SPHINCS+SHA2-256s-simple (Unconstrained, encapsulate_median_time)",Cliff's Delta,large
"FrodoKEM-640-AES vs ECDH-X25519 (Unconstrained, encapsulate_median_time)",Cliff's Delta,large
"FrodoKEM-640-AES vs ECDSA-P256 (Unconstrained, encapsulate_median_time)",Cliff's Delta,large
"FrodoKEM-640-AES vs RSA-2048 (Unconstrained, encapsulate_median_time)",Cliff's Delta,large
"FrodoKEM-640-AES vs Dilithium2 (Unconstrained, encapsulate_median_time)",Cliff's Delta,large
"FrodoKEM-640-AES vs Dilithium3 (Unconstrained, encapsulate_median_time)",Cliff's Delta,large
"FrodoKEM-640-AES vs Dilithium5 (Unconstrained, encapsulate_median_time)",Cliff's Delta,large
"FrodoKEM-640-AES vs SPHINCS+SHA2-128s-simple (Unconstrained, encapsulate_median_time)",Cliff's Delta,large
"FrodoKEM-640-AES vs SPHINCS+SHA2-192s-simple (Unconstrained, encapsulate_median_time)",Cliff's Delta,large
"FrodoKEM-640-AES vs SPHINCS+SHA2-256s-simple (Unconstrained, encapsulate_median_time)",Cliff's Delta,large
"ECDH-X25519 vs ECDSA-P256 (Unconstrained, encapsulate_median_time)",Cliff's Delta,large
"ECDH-X25519 vs RSA-2048 (Unconstrained, encapsulate_median_time)",Cliff's Delta,large
"ECDH-X25519 vs Dilithium2 (Unconstrained, encapsulate_median_time)",Cliff's Delta,large
"ECDH-X25519 vs Dilithium3 (Unconstrained, encapsulate_median_time)",Cliff's Delta,large
"ECDH-X25519 vs Dilithium5 (Unconstrained, encapsulate_median_time)",Cliff's Delta,large
"ECDH-X25519 vs SPHINCS+SHA2-128s-simple (Unconstrained, encapsulate_median_time)",Cliff's Delta,large
"ECDH-X25519 vs SPHINCS+SHA2-192s-simple (Unconstrained, encapsulate_median_time)",Cliff's Delta,large
"ECDH-X25519 vs SPHINCS+SHA2-256s-simple (Unconstrained, encapsulate_median_time)",Cliff's Delta,large
"ECDSA-P256 vs RSA-2048 (Unconstrained, encapsulate_median_time)",Cliff's Delta,large
"ECDSA-P256 vs Dilithium2 (Unconstrained, encapsulate_median_time)",Cliff's Delta,large
"ECDSA-P256 vs Dilithium3 (Unconstrained, encapsulate_median_time)",Cliff's Delta,large
"ECDSA-P256 vs Dilithium5 (Unconstrained, encapsulate_median_time)",Cliff's Delta,large
"ECDSA-P256 vs SPHINCS+SHA2-128s-simple (Unconstrained, encapsulate_median_time)",Cliff's Delta,large
"ECDSA-P256 vs SPHINCS+SHA2-192s-simple (Unconstrained, encapsulate_median_time)",Cliff's Delta,large
"ECDSA-P256 vs SPHINCS+SHA2-256s-simple (Unconstrained, encapsulate_median_time)",Cliff's Delta,large
"RSA-2048 vs Dilithium2 (Unconstrained, encapsulate_median_time)",Cliff's Delta,large
"RSA-2048 vs Dilithium3 (Unconstrained, encapsulate_median_time)",Cliff's Delta,large
"RSA-2048 vs Dilithium5 (Unconstrained, encapsulate_median_time)",Cliff's Delta,large
"RSA-2048 vs SPHINCS+SHA2-128s-simple (Unconstrained, encapsulate_median_time)",Cliff's Delta,large
"RSA-2048 vs SPHINCS+SHA2-192s-simple (Unconstrained, encapsulate_median_time)",Cliff's Delta,large
"RSA-2048 vs SPHINCS+SHA2-256s-simple (Unconstrained, encapsulate_median_time)",Cliff's Delta,large
"Dilithium2 vs Dilithium3 (Unconstrained, encapsulate_median_time)",Cliff's Delta,large
"Dilithium2 vs Dilithium5 (Unconstrained, encapsulate_median_time)",Cliff's Delta,large
"Dilithium2 vs SPHINCS+SHA2-128s-simple (Unconstrained, encapsulate_median_time)",Cliff's Delta,large
"Dilithium2 vs SPHINCS+SHA2-192s-simple (Unconstrained, encapsulate_median_time)",Cliff's Delta,large
"Dilithium2 vs SPHINCS+SHA2-256s-simple (Unconstrained, encapsulate_median_time)",Cliff's Delta,large
"Dilithium3 vs Dilithium5 (Unconstrained, encapsulate_median_time)",Cliff's Delta,large
"Dilithium3 vs SPHINCS+SHA2-128s-simple (Unconstrained, encapsulate_median_time)",Cliff's Delta,large
"Dilithium3 vs SPHINCS+SHA2-192s-simple (Unconstrained, encapsulate_median_time)",Cliff's Delta,large
"Dilithium3 vs SPHINCS+SHA2-256s-simple (Unconstrained, encapsulate_median_time)",Cliff's Delta,large
"Dilithium5 vs SPHINCS+SHA2-128s-simple (Unconstrained, encapsulate_median_time)",Cliff's Delta,large
"Dilithium5 vs SPHINCS+SHA2-192s-simple (Unconstrained, encapsulate_median_time)",Cliff's Delta,large
